"Town","FIPS","Year","Measure Type","Variable","Value"
"Canterbury","0901512130","2001","Number","Murder",0
"Canton","0900312270","2001","Number","Murder",0
"Chaplin","0901513810","2001","Number","Murder",0
"Cheshire","0900914160","2001","Number","Murder",0
"Chester","0900714300","2001","Number","Murder",0
"Clinton","0900715350","2001","Number","Murder",0
"Colchester","0901115910","2001","Number","Murder",0
"Colebrook","0900516050","2001","Number","Murder",0
"Columbia","0901316400","2001","Number","Murder",1
"Connecticut","09","2001","Number","Murder",106
"Cornwall","0900517240","2001","Number","Murder",0
"Coventry","0901317800","2001","Number","Murder",0
"Cromwell","0900718080","2001","Number","Murder",0
"Danbury","0900118500","2001","Number","Murder",0
"Darien","0900118850","2001","Number","Murder",0
"Deep River","0900719130","2001","Number","Murder",0
"Derby","0900919550","2001","Number","Murder",0
"Durham","0900720810","2001","Number","Murder",0
"East Granby","0900322070","2001","Number","Murder",0
"East Haddam","0900722280","2001","Number","Murder",0
"East Hampton","0900722490","2001","Number","Murder",0
"East Hartford","0900322630","2001","Number","Murder",3
"East Haven","0900922910","2001","Number","Murder",0
"East Lyme","0901123400","2001","Number","Murder",0
"East Windsor","0900324800","2001","Number","Murder",0
"Eastford","0901521860","2001","Number","Murder",0
"Easton","0900123890","2001","Number","Murder",0
"Ellington","0901325360","2001","Number","Murder",0
"Enfield","0900325990","2001","Number","Murder",1
"Essex","0900726270","2001","Number","Murder",0
"Fairfield","0900126620","2001","Number","Murder",0
"Farmington","0900327600","2001","Number","Murder",0
"Franklin","0901129910","2001","Number","Murder",0
"Glastonbury","0900331240","2001","Number","Murder",0
"Goshen","0900532290","2001","Number","Murder",0
"Granby","0900332640","2001","Number","Murder",0
"Greenwich","0900133620","2001","Number","Murder",1
"Griswold","0901133900","2001","Number","Murder",0
"Groton","0901134250","2001","Number","Murder",1
"Guilford","0900934950","2001","Number","Murder",0
"Haddam","0900735230","2001","Number","Murder",0
"Hamden","0900935650","2001","Number","Murder",0
"Hampton","0901536000","2001","Number","Murder",0
"Hartford","0900337070","2001","Number","Murder",25
"Hartland","0900337140","2001","Number","Murder",0
"Harwinton","0900537280","2001","Number","Murder",0
"Hebron","0901337910","2001","Number","Murder",0
"Kent","0900540290","2001","Number","Murder",0
"Killingly","0901540500","2001","Number","Murder",0
"Killingworth","0900740710","2001","Number","Murder",0
"Lebanon","0901142390","2001","Number","Murder",0
"Ledyard","0901142600","2001","Number","Murder",0
"Lisbon","0901143230","2001","Number","Murder",0
"Litchfield","0900543370","2001","Number","Murder",0
"Lyme","0901144210","2001","Number","Murder",0
"Madison","0900944560","2001","Number","Murder",0
"Manchester","0900344700","2001","Number","Murder",1
"Mansfield","0901344910","2001","Number","Murder",0
"Marlborough","0900345820","2001","Number","Murder",0
"Meriden","0900946520","2001","Number","Murder",2
"Middlebury","0900946940","2001","Number","Murder",0
"Middlefield","0900747080","2001","Number","Murder",1
"Middletown","0900747360","2001","Number","Murder",2
"Milford","0900947535","2001","Number","Murder",1
